dataset,HOCNNLB-4,iDeepS,DeepBind,HOCNNLB-1,HOCNNLB-2,HOCNNLB-3
AGO2-1,0.999,0.71,0.865,0.912,0.994,0.997
AGO2-2,0.997,0.783,0.795,0.871,0.976,0.995
AGO2-3,0.99,0.771,0.868,0.918,0.973,0.994
AGO2-4,0.996,0.593,0.837,0.919,0.996,0.997
AGO2-5,0.987,0.74,0.824,0.914,0.992,0.984
AGO2-6,0.996,0.758,0.854,0.931,0.998,0.999
AGO2-7,0.966,0.706,0.751,0.773,0.909,0.937
AGO2-8,0.969,0.667,0.74,0.805,0.944,0.975
AGO2-9,0.951,0.644,0.651,0.718,0.867,0.93
AGO2-10,0.936,0.577,0.662,0.736,0.826,0.904
AGO2-11,0.911,0.616,0.632,0.698,0.812,0.905
DGCR8-1,0.974,0.665,0.778,0.86,0.953,0.976
DGCR8-2,0.883,0.695,0.741,0.805,0.879,0.912
DGCR8-3,0.983,0.654,0.713,0.751,0.921,0.978
DGCR8-4,0.965,0.738,0.717,0.797,0.869,0.961
EIF4A3-1,0.976,0.723,0.77,0.847,0.894,0.957
EIF4A3-2,0.98,0.768,0.816,0.803,0.877,0.964
EWSR1,0.973,0.667,0.742,0.774,0.885,0.969
FMR1-1,0.958,0.789,0.807,0.82,0.899,0.954
FMR1-2,0.981,0.561,0.695,0.754,0.917,0.971
FMR1-3,0.949,0.711,0.751,0.771,0.926,0.954
FUS-1,0.918,0.735,0.773,0.8,0.846,0.908
FUS-2,0.922,0.717,0.764,0.759,0.794,0.877
FUS-3,0.939,0.741,0.783,0.797,0.836,0.894
HuR,0.952,0.947,0.964,0.975,0.976,0.972
IGF2BP123,0.998,0.66,0.758,0.954,0.988,0.997
RBM10-1,0.799,0.642,0.825,0.807,0.806,0.823
RBM10-2,0.811,0.644,0.811,0.807,0.805,0.807
TDP-43,0.952,0.861,0.879,0.897,0.938,0.955
TIAL1,0.938,0.686,0.695,0.778,0.876,0.929
ZC3H7B,0.995,0.708,0.853,0.866,0.978,0.997
